F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Needs_Tuning
54.96714153011233,38.43221747188948,0.570612997219531,30.05064655147862,-0.3390077456181626,91.45451555611403,S07,C,0.3022941984268199,Z2,0,5.118287163383585,Yes
48.61735698828815,48.1869401319875,0.9681846605328611,30.815948086523537,-0.36273128670708327,94.632580998381,S06,A,0.9481853112411585,Z1,0,4.204698371609121,No
56.47688538100692,13.501745330690955,-0.33130838318332273,40.15034440074157,-1.436514538104012,139.56822628390302,S05,C,0.5952860333434249,Z2,1,6.437193046500075,Yes
65.23029856408026,39.18623183614488,-0.6122367345077503,36.897056056947406,-0.2640721533611498,104.52810071081518,S08,C,0.46934788932013893,Z3,1,4.680284268328524,No
47.658466252766644,57.53831344040834,-1.085150526557798,25.1338281053305,0.586263265457396,94.20516286829236,S05,A,0.7830409053403646,Z2,1,3.820761474879027,No
47.6586304305082,19.214429660613444,-0.8254105299789551,18.7505625462245,-1.0193856952614362,66.92058440866141,S02,C,0.8683631218773215,Z1,0,0.8041906314222711,Yes
65.79212815507391,70.29197045939723,2.9490944253087252,39.99246753958488,0.838786120840474,120.84646200919533,S06,C,0.47093011553722297,Z3,0,4.833789383166789,Yes
57.67434729152909,39.98716606334598,,44.81498857563618,0.39021985686747057,79.82185493787097,S01,A,0.5694794972869524,Z2,0,7.19334177499226,No
45.30525614065048,24.112844489956796,-1.3510743662080213,28.56994599421367,-0.5873866575768303,84.94841644750744,S05,B,0.3023994363994118,Z4,1,7.518633159790102,No
55.42560043585965,32.29472535058798,-1.3224579567435701,33.143965365597225,-0.11322370987027795,95.02971551368226,S06,A,0.4705614498463977,Z2,0,5.1065574211297395,No
45.365823071875376,42.57414357357636,0.4818660617184915,28.82990539696015,1.2786574461128266,121.24617687550439,S07,C,0.460187489248026,Z3,0,3.222579298786547,Yes
45.34270246429743,34.267672811855824,0.547264797377967,27.15016145883545,0.5868382508046927,111.59859979998639,S02,B,0.5369654067243308,Z1,0,6.805487711037601,Yes
52.41962271566034,42.20084297700502,0.5488838353173644,27.386701768095552,0.007026923918518254,97.6324373523961,S01,B,0.5665520957274021,Z3,0,4.969269104706518,No
30.86719755342202,21.882711221628092,,22.636718110441738,-0.19014665356878746,104.62438095458232,S06,B,,Z1,0,4.268649330546783,No
32.75082167486967,35.737922175578035,-0.12545426000290022,20.779300620480576,0.061287256361327695,90.99421460693341,S03,A,0.5475285312599918,Z2,1,2.0881701610683887,No
44.37712470759027,17.52850611252441,0.3278795241593574,26.71434108422245,-0.4094108463538428,102.09480534348026,S05,B,0.2578514746741671,Z2,0,9.207522953891587,No
39.87168879665576,31.498762910979703,,19.046183141602206,-1.6837996045752117,101.10005117167205,S02,B,0.31230657885178303,Z3,1,6.476796898121075,No
53.142473325952736,22.048433611467388,-2.219300372747535,38.403023655245434,1.6337423284277848,114.5315484352203,S01,B,0.3907184761072654,Z4,1,6.6924970171450004,Yes
40.91975924478789,23.783962900290355,-0.22979963057519381,27.875369273538283,0.12425999935952117,114.50767183658424,S01,C,0.44355188161535425,Z2,0,3.274381472783789,No
35.87696298664709,57.75684836885122,-0.8514064342603136,18.76157360515174,0.3185178120980297,107.40966073308468,S04,A,0.7101548580944227,Z4,0,5.159499334976996,Yes
64.65648768921554,54.113817195413255,0.17521141890851205,43.80301688193901,-0.04632619990152698,94.56478663680846,S10,A,0.2674122026294174,Z4,0,4.837012268081016,No
47.74223699513465,43.558817638368446,2.98525900260341,26.15748800515475,-0.5880934405796704,111.12733441585189,S02,C,0.42851699036586,Z3,1,6.564189222039122,Yes
50.67528204687924,20.256166301137643,0.3674816654743044,26.495151765572356,-0.14873958475901658,98.6204730069543,S01,B,0.6906018996428099,Z2,0,7.719436912289611,Yes
35.75251813786544,28.720644870533864,-0.3135296861723979,17.652995295317826,-1.279515809755449,83.771284469303,S06,C,,Z4,0,2.131568805286061,No
44.556172754748175,57.16226426270531,0.9218015019772522,17.878360887408448,1.8216691984426436,93.95068312133591,S04,C,0.5920831299685648,Z2,0,2.850644804033787,No
51.10922589709866,35.296104761043544,,33.023247440350225,-0.9876095987379169,101.26790475676486,S10,B,0.4720915914144193,Z1,0,6.29147570075581,No
38.490064225776976,94.03793766145712,0.4200944904518413,13.938314143774436,-0.8255730270777436,113.65323675497118,S07,B,0.5513566514649446,Z4,0,3.983941281115105,Yes
53.75698018345672,39.52735752438324,0.606850593215671,26.11196895374522,-0.35220736350912035,97.2470774176427,S06,A,0.4543054912380919,Z3,0,6.629748235749539,No
43.99361310081195,142.05032550841844,2.0565435648295414,16.0182278150945,1.030460579881902,81.8620193314059,S05,B,0.6334130945456709,Z3,1,4.25388131123598,Yes
47.083062502067236,28.815043401769035,-1.1308884353259157,27.819489037285873,0.011607199410123309,100.8511252494523,S10,C,0.1909887185187129,Z4,1,2.502450738650007,No
43.98293387770603,35.16648179261049,0.47363207681145447,25.63815802526426,-0.98890863682437,101.70184060084829,S02,C,0.427337598322291,Z2,0,1.4813010224327425,No
68.52278184508938,30.91954702252088,-0.9263811299815384,39.480188041121814,1.0034706886058717,102.78756443354129,S05,B,0.5593145353388617,Z1,0,5.968255840078459,Yes
49.86502775262066,45.54263428622228,0.5555126463422483,24.706128178219515,0.5848005014283851,113.79807273931645,S09,A,0.6067390496012386,Z1,1,6.017301087094838,Yes
39.422890710440996,50.93325461558381,-0.9186865114860944,17.792565659081397,0.43074796577316193,115.28384860134848,S09,C,,Z3,0,6.940431484542435,No
58.225449121031886,23.249990949661598,-0.4173668136050844,37.257118790352,0.5725873929366724,91.086836914275,S02,B,0.4217950666268847,Z3,1,5.655747212620916,Yes
37.791563500289776,18.19133116323713,-0.2950899142379063,19.922178441631427,1.9154895204659608,90.75784812926585,S07,A,0.7958963523721746,Z2,0,-2.514870642518371,No
52.08863595004755,14.493605934026766,0.975816719344709,32.83497317770925,1.74807591602889,84.3970193356679,S10,A,0.3681952346680659,Z3,1,6.006868215693822,No
30.403298761202244,41.62063579801765,0.9184544439424138,13.815735826100234,-0.5493722744026363,110.48223505420714,S04,C,0.7657292823089288,Z2,0,2.085085070982879,No
36.71813951101569,20.155657681533942,-1.2457173764463845,22.93619742046483,1.2991079942489219,121.73230162506573,S03,C,0.6634934253396745,Z4,0,1.2645640036806371,No
51.96861235869123,12.56856974823049,0.054934110999848726,37.697557601795054,0.3065345518071203,95.27377108136615,S01,A,0.31730828407355544,Z1,1,1.0236907621570084,No
57.38466579995411,39.44314910620372,-0.7095798547491726,37.36162848193638,0.39927665291019954,96.3785415291251,S03,A,0.5614078474503643,Z4,0,0.8396240547162561,No
51.7136828118997,101.68194779703035,-1.2585049106753345,28.966140596057418,-1.353816665314663,122.00173835348464,S09,A,0.4897528328935617,Z3,0,5.5579562038312975,Yes
48.843517176117594,33.02510698131399,-0.21701705042437042,30.59210515745019,-0.13630861231055677,107.58336779822511,S09,B,0.6251169187350001,Z1,0,3.53763151817192,No
46.98896304410711,48.29465289889959,-0.3084827884558197,26.9900519538132,-0.6502588722692519,106.54353557201583,S07,C,0.45534568231333805,Z1,1,1.961789417514872,Yes
35.214780096325725,34.357598808860345,2.4267164863455224,21.168268981269073,0.6624470519146475,82.13625241039409,S03,A,0.4385507548676537,Z4,0,5.04616511140481,No
42.801557916052914,31.67411089069238,0.43295982536069616,24.052879488889232,0.8568644003222441,110.18092103919129,S03,C,0.7738189165525703,Z2,1,2.7881335508400884,No
45.393612290402125,50.07813157773198,-1.3776175007542373,26.414491344814316,-1.6595890808130491,86.06295489235363,S04,C,0.4802558211088654,Z1,0,6.962141847757428,Yes
60.57122226218915,29.0604009428004,-0.5647740041709423,37.40320012268437,8.563818280206924,82.98969721097563,S07,C,,Z2,0,7.900438747667417,Yes
