trip_id,timestamp,hour,day_of_week,temp_c,wind_kph,precip_mm,is_holiday,demand,condition_Cloudy,condition_Fog,condition_Rain,condition_Windy,user_type_member,bike_type_e-bike
1,2025-07-22 12:00:00,12,1,20.28095296704541,15.43952140466918,1.415647421331504,0,79.0,True,False,False,False,True,True
2,2025-07-16 11:00:00,11,2,13.998843994221492,12.080502645865046,0.6482952185765584,0,79.0,False,False,False,False,True,False
3,2025-07-17 04:00:00,4,3,12.734613874426945,22.90955993143839,0.4320687073389278,0,70.0,False,False,False,False,True,False
4,2025-07-14 16:00:00,16,0,7.877436934527444,18.848108963945116,1.3367539024112958,0,44.0,False,False,False,False,True,False
5,2025-07-05 08:00:00,8,5,14.004143483908669,24.10325365264645,3.764262887150036,1,105.0,False,False,False,False,False,True
6,2025-07-01 23:00:00,23,1,11.903406612908158,11.640534497591146,1.3570470841000428,0,61.0,True,False,False,False,True,False
7,2025-07-26 01:00:00,1,5,19.18881265319644,21.813489985739068,1.1319175399402708,1,97.0,False,True,False,False,True,False
8,2025-07-05 16:00:00,16,5,10.22558826912178,45.057520371768334,0.8646171433883929,1,51.0,False,False,False,True,True,False
9,2025-07-06 09:00:00,9,6,17.530104335035578,10.092234982876723,1.8721938526010904,1,108.0,True,False,False,False,True,True
10,2025-07-24 23:00:00,23,3,15.427706792781256,33.33767127399345,1.7762359164958923,0,72.0,False,False,False,False,True,False
11,2025-07-10 04:00:00,4,3,23.051445972352905,11.393103228134194,0.9987851047055774,0,60.0,True,False,False,False,True,True
12,2025-07-05 06:00:00,6,5,16.04192376302199,22.200105696206336,0.1146083824487112,1,99.0,False,True,False,False,True,False
13,2025-07-05 23:00:00,23,5,12.17241004750345,23.98784389487023,0.7884207956428969,1,61.0,False,False,False,False,True,False
14,2025-07-27 20:00:00,20,6,17.702401318997637,12.208692064550927,1.4189792989939576,1,109.0,False,True,False,False,True,False
15,2025-07-03 05:00:00,5,3,14.004143483908669,18.37065329731077,0.0407068140740289,0,77.0,False,True,False,False,True,False
16,2025-07-04 07:00:00,7,4,23.742766178403404,19.40386698822136,0.6052842046516115,0,91.0,True,False,False,False,True,False
17,2025-07-23 22:00:00,22,2,14.004143483908669,30.064644969957605,0.1160424697979225,0,10.0,False,False,False,False,True,False
18,2025-07-10 14:00:00,14,3,19.420300853370104,16.1999759417058,0.1571100095937561,0,99.0,False,False,False,False,True,False
19,2025-07-05 21:00:00,21,5,9.264023640184964,32.154901187631545,2.005587347287653,1,40.0,True,False,False,False,False,False
20,2025-07-18 07:00:00,7,4,24.37271458688048,19.524765721787595,1.4097159495553968,0,68.0,False,False,False,False,True,False
21,2025-07-15 09:00:00,9,1,17.09329886941098,16.973728292971174,1.3310826314875717,0,101.0,True,False,False,False,True,False
22,2025-07-11 19:00:00,19,4,6.615773952162179,18.09628136026912,3.733454140549077,0,10.0,False,False,False,False,True,False
23,2025-07-18 18:00:00,18,4,10.6558163343432,12.26588615260576,1.1488186540542904,0,72.0,False,False,False,False,False,False
